step,b1_x,b1_y,b2_x,b2_y,b3_x,b3_y
332,-3.10229,0.56118,-5.04385,1.13939,6.48114,-0.700567
333,-3.12212,0.55919,-5.06423,1.14486,6.51635,-0.704051
334,-3.14197,0.557207,-5.08458,1.15033,6.55155,-0.707534
335,-3.16185,0.555231,-5.10491,1.15579,6.58676,-0.711017
336,-3.18174,0.553262,-5.12522,1.16124,6.62196,-0.7145
337,-3.20166,0.551301,-5.1455,1.16668,6.65716,-0.717983
338,-3.2216,0.549346,-5.16576,1.17212,6.69236,-0.721465
339,-3.24157,0.547398,-5.18599,1.17755,6.72756,-0.724947
340,-3.26155,0.545458,-5.20621,1.18297,6.76276,-0.728429
341,-3.28156,0.543525,-5.22639,1.18839,6.79795,-0.731911
342,-3.30158,0.5416,-5.24656,1.19379,6.83314,-0.735392
343,-3.32163,0.539682,-5.2667,1.19919,6.86834,-0.738874
344,-3.34171,0.537771,-5.28682,1.20458,6.90352,-0.742355
345,-3.3618,0.535868,-5.30692,1.20997,6.93871,-0.745836
346,-3.38191,0.533973,-5.32699,1.21534,6.9739,-0.749316
347,-3.40205,0.532085,-5.34704,1.22071,7.00908,-0.752797
348,-3.4222,0.530205,-5.36706,1.22607,7.04427,-0.756277
349,-3.44238,0.528333,-5.38707,1.23142,7.07945,-0.759757
350,-3.46258,0.526468,-5.40705,1.23677,7.11463,-0.763236
351,-3.4828,0.524612,-5.42701,1.2421,7.14981,-0.766716
352,-3.50304,0.522763,-5.44695,1.24743,7.18499,-0.770195
353,-3.5233,0.520923,-5.46686,1.25275,7.22016,-0.773675
354,-3.54358,0.51909,-5.48675,1.25806,7.25534,-0.777153
355,-3.56389,0.517266,-5.50662,1.26337,7.29051,-0.780632
356,-3.58421,0.51545,-5.52647,1.26866,7.32568,-0.784111
357,-3.60456,0.513642,-5.5463,1.27395,7.36085,-0.787589
358,-3.62492,0.511842,-5.5661,1.27923,7.39602,-0.791067
359,-3.64531,0.510051,-5.58588,1.28449,7.43119,-0.794545
360,-3.66571,0.508268,-5.60564,1.28976,7.46636,-0.798023
361,-3.68614,0.506493,-5.62538,1.29501,7.50152,-0.801501
362,-3.70659,0.504727,-5.6451,1.30025,7.53668,-0.804978
363,-3.72705,0.50297,-5.66479,1.30549,7.57185,-0.808456
364,-3.74754,0.501221,-5.68446,1.31071,7.60701,-0.811933
365,-3.76805,0.499481,-5.70412,1.31593,7.64217,-0.81541
366,-3.78858,0.49775,-5.72375,1.32114,7.67732,-0.818886
367,-3.80913,0.496027,-5.74336,1.32634,7.71248,-0.822363
368,-3.82969,0.494313,-5.76294,1.33153,7.74764,-0.825839
369,-3.85028,0.492608,-5.78251,1.33671,7.78279,-0.829316
370,-3.87089,0.490912,-5.80206,1.34188,7.81794,-0.832792
371,-3.89152,0.489225,-5.82158,1.34704,7.8531,-0.836268
372,-3.91216,0.487547,-5.84108,1.3522,7.88825,-0.839743
373,-3.93283,0.485878,-5.86057,1.35734,7.9234,-0.843219
374,-3.95352,0.484219,-5.88003,1.36248,7.95855,-0.846694
375,-3.97422,0.482568,-5.89947,1.3676,7.99369,-0.85017
376,-3.99495,0.480926,-5.91889,1.37272,8.02884,-0.853645
377,-4.0157,0.479294,-5.93829,1.37783,8.06398,-0.85712
378,-4.03646,0.477671,-5.95767,1.38292,8.09913,-0.860595
379,-4.05724,0.476058,-5.97702,1.38801,8.13427,-0.864069
380,-4.07805,0.474454,-5.99636,1.39309,8.16941,-0.867544
381,-4.09887,0.472859,-6.01568,1.39816,8.20455,-0.871018
382,-4.11971,0.471274,-6.03498,1.40322,8.23969,-0.874492
383,-4.14057,0.469699,-6.05425,1.40827,8.27483,-0.877966
384,-4.16145,0.468133,-6.07351,1.41331,8.30996,-0.88144
385,-4.18235,0.466577,-6.09275,1.41834,8.3451,-0.884914
386,-4.20327,0.465031,-6.11196,1.42336,8.38023,-0.888388
387,-4.22421,0.463494,-6.13116,1.42837,8.41537,-0.891861
388,-4.24517,0.461967,-6.15033,1.43337,8.4505,-0.895335
389,-4.26614,0.46045,-6.16949,1.43836,8.48563,-0.898808
390,-4.28714,0.458943,-6.18863,1.44334,8.52076,-0.902281
391,-4.30815,0.457446,-6.20774,1.44831,8.55589,-0.905754
392,-4.32918,0.455959,-6.22684,1.45327,8.59102,-0.909227
